,hourofweek,avgentries,hourofweek_sorted
0,0.0,236384.4,114
1,1.0,111044.8,101
2,2.0,9414.2,22
3,3.0,1979.0,3
4,4.0,51006.0,80
5,5.0,28089.2,55
6,6.0,6141.4,14
7,7.0,21983.4,44
8,8.0,247926.6,115
9,9.0,409694.6,131
10,10.0,55231.4,85
11,11.0,27049.2,51
12,12.0,784668.0,158
13,13.0,319436.0,122
14,14.0,42249.0,69
15,15.0,13210.4,32
16,16.0,565850.0,153
17,17.0,426305.6,135
18,18.0,58119.0,88
19,19.0,32169.2,60
20,20.0,872099.0,159
21,21.0,455801.4,137
22,22.0,39102.0,65
23,23.0,11065.4,27
24,24.0,372595.75,128
25,25.0,159998.75,104
26,26.0,10258.0,25
27,27.0,1628.75,2
28,28.0,81704.25,94
29,29.0,42747.5,71
30,30.0,6533.75,15
31,31.0,21996.75,45
32,32.0,298758.5,119
33,33.0,509344.0,145
34,34.0,52671.0,83
35,35.0,28026.0,54
36,36.0,933026.5,160
37,37.0,357220.75,124
38,38.0,46173.75,77
39,39.0,17397.5,42
40,40.0,628274.25,154
41,41.0,480107.25,141
42,42.0,70507.75,91
43,43.0,33253.25,61
44,44.0,1006351.0,165
45,45.0,531463.75,150
46,46.0,47139.25,78
47,47.0,12310.5,29
48,48.0,417813.5,133
49,49.0,173865.25,105
50,50.0,12836.25,30
51,51.0,2224.75,4
52,52.0,87573.0,97
53,53.0,39854.75,67
54,54.0,6040.5,13
55,55.0,14586.0,36
56,56.0,235477.25,113
57,57.0,513386.25,147
58,58.0,55663.75,86
59,59.0,25064.75,49
60,60.0,1002185.5,164
61,61.0,367581.5,127
62,62.0,43687.5,74
63,63.0,19237.25,43
64,64.0,643186.0,155
65,65.0,491763.5,143
66,66.0,78307.0,93
67,67.0,35385.75,63
68,68.0,1006460.5,166
69,69.0,544780.25,152
70,70.0,57120.5,87
71,71.0,16577.75,40
72,72.0,398834.25,129
73,73.0,174877.5,106
74,74.0,15245.75,38
75,75.0,2445.25,5
76,76.0,85078.25,95
77,77.0,31280.5,58
78,78.0,7955.5,18
79,79.0,13656.75,34
80,80.0,221165.0,110
81,81.0,510385.75,146
82,82.0,71319.75,92
83,83.0,35792.25,64
84,84.0,1000699.5,163
85,85.0,359901.5,125
86,86.0,51529.75,81
87,87.0,17281.75,41
88,88.0,653882.5,156
89,89.0,474782.75,139
90,90.0,69175.5,90
91,91.0,43383.0,72
92,92.0,1029854.5,167
93,93.0,544147.75,151
94,94.0,43644.25,73
95,95.0,15343.0,39
96,96.0,420312.5,134
97,97.0,195070.25,107
98,98.0,13035.25,31
99,99.0,2861.5,6
100,100.0,90123.75,100
101,101.0,49580.75,79
102,102.0,7011.5,16
103,103.0,14762.5,37
104,104.0,205202.25,109
105,105.0,473428.25,138
106,106.0,53901.5,84
107,107.0,27938.0,53
108,108.0,962545.75,162
109,109.0,364437.75,126
110,110.0,44028.0,75
111,111.0,22078.75,46
112,112.0,714787.5,157
113,113.0,518373.25,148
114,114.0,61134.75,89
115,115.0,32033.5,59
116,116.0,958123.75,161
117,117.0,499241.5,144
118,118.0,42721.0,70
119,119.0,9959.75,24
120,120.0,476260.0,140
121,121.0,226547.25,111
122,122.0,27174.5,52
123,123.0,4574.75,9
124,124.0,88815.75,98
125,125.0,39837.0,66
126,126.0,4638.75,10
127,127.0,1490.25,0
128,128.0,51769.25,82
129,129.0,134238.5,102
130,130.0,14288.25,35
131,131.0,5671.0,12
132,132.0,430210.5,136
133,133.0,253752.0,116
134,134.0,24521.0,48
135,135.0,8517.5,19
136,136.0,484571.75,142
137,137.0,330740.0,123
138,138.0,34434.5,62
139,139.0,11226.5,28
140,140.0,518730.75,149
141,141.0,300163.5,120
142,142.0,29671.5,57
143,143.0,9181.5,21
144,144.0,256590.8,117
145,145.0,138400.0,103
146,146.0,13372.4,33
147,147.0,3302.4,7
148,148.0,90051.4,99
149,149.0,45224.8,76
150,150.0,4673.4,11
151,151.0,1560.4,1
152,152.0,41120.4,68
153,153.0,85869.4,96
154,154.0,9590.6,23
155,155.0,4213.8,8
156,156.0,315071.8,121
157,157.0,200347.6,108
158,158.0,22741.8,47
159,159.0,8641.8,20
160,160.0,401776.8,130
161,161.0,275679.8,118
162,162.0,28782.8,56
163,163.0,10571.6,26
164,164.0,413383.8,132
165,165.0,232561.2,112
166,166.0,25122.8,50
167,167.0,7371.2,17
